word,Length,Syllables,Compound,Number of Vowels,Frequency,Silent Letters,Regular Plural,Irregular Plural,Syll/Vowels,Length/Syll,Vow/Length,PhonicLength,PL-L,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
club,4,1,0,1,4.92,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tray,4,1,0,2,3.56,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
play,4,1,0,2,5.58,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
fish,4,1,0,1,4.97,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
home,4,1,0,2,5.9,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gnome,5,1,0,2,2.87,1,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
monkey,6,2,0,3,4.51,0,0,0,0.666666667,3,0.5,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
turkey,6,2,0,3,4.18,0,0,0,0.666666667,3,0.5,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dot,3,1,0,1,3.89,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dump,4,1,0,1,4.43,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dust,4,1,0,1,4.4,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hose,4,1,0,2,3.69,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
farm,4,1,0,1,4.51,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fin,3,1,0,1,3.68,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
flour,5,2,0,2,3.64,0,0,0,1,2.5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
foil,4,1,0,2,3.19,0,0,0,0.5,4,0.5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
liquid,6,2,0,3,3.97,0,0,0,0.666666667,3,0.5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
green,5,1,0,2,4.84,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,3,1,0,1,5.27,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pot,3,1,0,1,4.42,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jump,4,1,0,1,4.85,0,0,0,1,4,0.25,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
rust,4,1,0,1,3.48,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nose,4,1,0,2,4.75,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
clothes,7,1,0,2,5.05,0,0,0,0.5,7,0.285714286,5,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
arm,3,1,0,1,4.73,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bin,3,1,0,1,4.09,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pin,3,1,0,1,4.07,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tin,3,1,0,1,4.04,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tower,5,2,0,2,4.4,0,0,0,1,2.5,0.4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
flower,6,2,0,2,4.49,0,0,0,1,3,0.333333333,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
shower,6,2,0,2,4.6,0,0,0,1,3,0.333333333,5,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
soil,4,1,0,2,4.06,0,0,0,0.5,4,0.5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
oil,3,1,0,2,4.59,0,0,0,0.5,3,0.666666667,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
squid,5,1,0,2,3.7,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
queen,5,1,0,3,4.78,0,0,0,0.333333333,5,0.6,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,5,1,0,2,5.09,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hair,4,1,0,2,5.2,0,0,0,0.5,4,0.5,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hall,4,1,0,1,4.63,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
head,4,1,0,2,5.56,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hell,4,1,0,1,5.66,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hip,3,1,0,1,4.32,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hop,3,1,0,1,4.38,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,5,1,0,3,5.73,0,0,0,0.333333333,5,0.6,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lead,4,1,0,2,4.89,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kick,4,1,0,1,4.85,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kid,3,1,0,1,5.42,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
stair,5,1,0,2,3.05,0,0,0,0.5,5,0.4,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
square,6,1,0,3,4.5,0,0,0,0.333333333,6,0.5,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chair,5,1,0,2,4.55,0,0,0,0.5,5,0.4,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
bear,4,1,0,2,4.83,0,0,0,0.5,4,0.5,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tall,4,1,0,1,4.45,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fall,4,1,0,1,5.11,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ball,4,1,0,1,5,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wall,4,1,0,1,4.86,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
red,3,1,0,1,5.17,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bed,3,1,0,1,5.27,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
shed,4,1,0,1,4.14,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bread,5,1,0,2,4.58,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
smell,5,1,0,1,4.96,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spell,5,1,0,1,4.38,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
well,4,1,0,1,6.36,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bell,4,1,0,1,4.66,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lip,3,1,0,1,4.01,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tip,3,1,0,1,4.4,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zip,3,1,0,1,3.82,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ship,4,1,0,1,4.85,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
mop,3,1,0,1,3.58,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pop,3,1,0,1,4.65,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
top,3,1,0,1,5.14,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stop,4,1,0,1,5.96,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chop,4,1,0,1,4.22,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
shop,4,1,0,1,4.87,0,0,0,1,4,0.25,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
mouse,5,1,0,3,4.29,0,0,0,0.333333333,5,0.6,4,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
read,4,1,0,2,5.36,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seed,4,1,0,2,3.93,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weed,4,1,0,2,4.12,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sick,4,1,0,1,5.22,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tick,4,1,0,1,3.97,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
click,5,1,0,1,3.97,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
brick,5,1,0,1,3.96,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lid,3,1,0,1,3.69,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
land,4,1,0,1,5.05,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moss,4,1,0,1,3.57,0,0,0,1,4,0.25,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mouth,5,1,0,2,5.06,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
log,3,1,0,1,3.93,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
look,4,1,0,2,6.27,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mane,4,1,0,2,3.05,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
mash,4,1,0,1,3.12,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nap,3,1,0,1,3.96,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noodle,6,2,0,3,3.76,0,0,0,0.666666667,3,0.5,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
owl,3,1,0,1,3.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
band,4,1,0,1,4.8,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,4,1,0,1,5.47,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sand,4,1,0,1,4.36,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross,5,1,0,1,4.82,0,0,0,1,5,0.2,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
south,5,1,0,2,4.8,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
cog,3,1,0,1,2.83,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,3,1,0,1,5.34,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fog,3,1,0,1,3.88,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hog,3,1,0,1,3.53,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
frog,4,1,0,1,4.01,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
book,4,1,0,2,5.23,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cook,4,1,0,2,4.73,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brain,5,1,0,2,4.9,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
drain,5,1,0,2,3.86,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rain,4,1,0,2,4.77,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
train,5,1,0,2,5.01,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
plane,5,1,0,2,4.85,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cash,4,1,0,1,4.85,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rap,3,1,0,1,4.03,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tap,3,1,0,1,4.12,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poodle,6,2,0,3,3.33,0,0,0,0.666666667,3,0.5,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
towel,5,1,0,2,4.13,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
pink,4,1,0,1,4.35,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
potato,6,3,0,3,4.13,0,0,0,1,2,0.5,9,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
potatoes,8,3,0,4,4.13,0,0,1,0.75,2.666666667,0.5,9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
price,5,1,0,2,4.78,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rag,3,1,0,1,3.67,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ram,3,1,0,1,4.17,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roast,5,1,0,2,3.92,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
page,4,1,0,2,4.5,0,0,0,0.5,4,0.5,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
path,4,1,0,1,4.57,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
throne,6,1,0,2,3.97,0,0,0,0.5,6,0.333333333,5,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ink,3,1,0,1,3.84,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
sink,4,1,0,1,4.17,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
wink,4,1,0,1,3.4,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tomato,6,3,0,3,3.86,0,0,0,1,2,0.5,9,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
tomatoes,8,3,0,4,3.86,0,0,1,0.75,2.666666667,0.5,9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
dice,4,1,0,2,3.76,0,0,1,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ice,3,1,0,2,4.94,0,0,0,0.5,3,0.666666667,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tag,3,1,0,1,4.04,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flag,4,1,0,1,4.22,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pram,4,1,0,1,2.96,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,4,1,0,1,3.99,1,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toast,5,1,0,2,4.41,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cage,4,1,0,2,4.14,0,0,0,0.5,4,0.5,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
bath,4,1,0,1,4.55,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
stone,5,1,0,2,4.68,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cone,4,1,0,2,3.56,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rug,3,1,0,1,3.74,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shape,5,1,0,2,4.49,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
shark,5,1,0,1,4.26,0,0,0,1,5,0.2,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sheep,5,1,0,2,4.24,0,0,0,0.5,5,0.4,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
toad,4,1,0,2,3.63,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
king,4,1,0,1,5.16,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
vest,4,1,0,1,3.63,0,0,0,1,4,0.25,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wax,3,1,0,1,3.8,0,0,0,1,3,0.333333333,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weather,7,2,0,3,4.58,0,0,0,0.666666667,3.5,0.428571429,5,-2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
wet,3,1,0,1,4.61,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bug,3,1,0,1,4.26,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hug,3,1,0,1,4.36,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jug,3,1,0,1,3.13,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
mug,3,1,0,1,3.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
plug,4,1,0,1,3.93,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grape,5,1,0,2,3.48,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tape,4,1,0,2,4.71,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
